"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2025","159.90","159.39","160.44","158.93","1.30M","0.11%"
"11/18/2025","159.72","157.31","161.28","156.70","12.44M","1.27%"
"11/17/2025","157.71","157.98","161.02","156.90","16.91M","2.54%"
"11/14/2025","153.80","156.94","162.62","151.78","33.99M","-3.78%"
"11/13/2025","159.84","164.00","164.00","158.50","17.21M","1.22%"
"11/12/2025","157.91","160.98","161.19","156.20","13.92M","-1.80%"
"11/11/2025","160.80","164.59","165.58","160.16","11.35M","-3.07%"
"11/10/2025","165.89","167.62","168.00","163.64","9.35M","-0.27%"
"11/07/2025","166.34","162.96","166.38","161.22","11.58M","-0.76%"
"11/06/2025","167.61","169.00","170.55","165.52","12.44M","1.69%"
"11/05/2025","164.82","164.40","166.88","163.60","8.63M","0.32%"
"11/04/2025","164.30","162.60","166.50","162.20","9.69M","-2.02%"
"11/03/2025","167.69","168.31","168.94","165.58","9.70M","-1.61%"
"10/31/2025","170.43","170.53","171.45","168.12","13.18M","-2.01%"
"10/30/2025","173.93","174.32","176.38","173.78","10.76M","-3.36%"
"10/29/2025","179.97","180.29","182.50","178.09","12.07M","1.84%"
"10/28/2025","176.72","177.48","179.38","175.24","11.91M","-1.52%"
"10/27/2025","179.45","179.74","180.00","177.62","12.58M","2.72%"
"10/24/2025","174.70","174.40","176.44","173.36","11.84M","1.63%"
"10/23/2025","171.90","168.97","173.24","168.32","12.79M","3.64%"
"10/22/2025","165.86","167.00","169.67","163.58","15.02M","-0.49%"
"10/21/2025","166.67","170.52","170.94","166.42","15.66M","-3.92%"
"10/20/2025","173.47","167.29","174.97","165.79","20.12M","3.84%"
"10/17/2025","167.05","161.76","169.10","161.15","17.77M","1.19%"
"10/16/2025","165.09","166.52","168.30","164.46","10.98M","-0.49%"
"10/15/2025","165.91","168.07","168.10","164.60","15.34M","1.87%"
"10/14/2025","162.86","160.05","166.50","160.00","18.58M","-2.37%"
"10/13/2025","166.81","167.78","168.79","165.03","25.70M","4.91%"
"10/10/2025","159.01","170.03","172.93","157.25","50.30M","-8.45%"
"10/09/2025","173.68","178.52","178.78","172.30","21.21M","-4.11%"
"10/08/2025","181.12","180.79","182.09","177.30","15.88M","-0.12%"
"10/07/2025","181.33","187.40","188.66","180.44","16.94M","-3.15%"
"10/06/2025","187.22","186.50","189.61","186.31","10.97M","-0.43%"
"10/03/2025","188.03","190.72","191.07","187.14","13.99M","-0.69%"
"10/02/2025","189.34","188.58","192.67","188.30","23.69M","3.59%"
"10/01/2025","182.78","179.98","183.08","178.87","14.97M","2.27%"
"09/30/2025","178.73","181.66","182.15","177.10","18.68M","-0.65%"
"09/29/2025","179.90","178.08","181.34","177.59","21.58M","4.65%"
"09/26/2025","171.91","172.17","172.76","169.70","15.97M","-2.03%"
"09/25/2025","175.47","173.40","175.77","170.43","20.71M","-0.55%"
"09/24/2025","176.44","175.98","180.16","175.00","52.64M","8.19%"
"09/23/2025","163.08","165.01","167.83","162.80","18.28M","-0.71%"
"09/22/2025","164.25","163.76","167.43","163.03","18.67M","0.88%"
"09/19/2025","162.81","164.69","166.25","162.61","18.18M","0.20%"
"09/18/2025","162.48","162.50","164.79","161.30","19.53M","-2.22%"
"09/17/2025","166.17","166.00","167.32","163.26","29.34M","2.44%"
"09/16/2025","162.21","158.36","163.00","157.59","26.02M","2.64%"
"09/15/2025","158.04","159.09","159.70","156.73","23.57M","1.92%"
"09/12/2025","155.06","154.07","155.46","152.06","20.90M","-0.24%"
"09/11/2025","155.44","148.12","156.85","147.86","50.09M","8.00%"
"09/10/2025","143.93","145.42","145.92","143.23","21.08M","-2.16%"
"09/09/2025","147.10","145.40","148.00","144.65","32.79M","4.18%"
"09/08/2025","141.20","139.88","141.22","138.77","20.10M","4.15%"
"09/05/2025","135.58","135.03","135.61","132.70","19.20M","3.56%"
"09/04/2025","130.92","133.16","134.25","130.06","24.73M","-4.05%"
"09/03/2025","136.45","136.70","137.77","135.58","16.47M","-1.52%"
"09/02/2025","138.55","134.47","138.83","133.06","41.63M","2.63%"
"08/29/2025","135.00","128.88","136.65","128.51","82.17M","12.90%"
"08/28/2025","119.57","119.53","121.25","117.60","14.50M","-2.18%"
"08/27/2025","122.23","121.20","122.51","120.79","13.83M","-1.58%"
"08/26/2025","124.19","125.29","126.00","123.72","8.71M","-0.13%"
"08/25/2025","124.35","125.18","126.73","123.50","12.89M","1.15%"
"08/22/2025","122.94","120.47","123.40","120.28","13.86M","4.11%"
"08/21/2025","118.09","117.88","119.27","117.51","8.23M","-1.17%"
"08/20/2025","119.49","119.92","120.81","118.67","7.10M","-0.42%"
"08/19/2025","119.99","121.58","122.58","119.99","8.11M","-1.16%"
"08/18/2025","121.40","121.92","123.15","120.90","8.55M","0.12%"
"08/15/2025","121.26","120.98","122.19","120.68","11.14M","-0.83%"
"08/14/2025","122.28","123.73","123.93","121.34","15.05M","-3.61%"
"08/13/2025","126.86","126.69","127.93","125.08","19.36M","3.63%"
"08/12/2025","122.42","118.81","122.79","118.10","11.99M","3.19%"
"08/11/2025","118.64","120.43","121.30","118.12","12.07M","-1.43%"
"08/08/2025","120.36","119.32","120.70","118.65","9.76M","-0.50%"
"08/07/2025","120.96","121.34","122.28","119.60","9.48M","0.08%"
"08/06/2025","120.86","118.88","121.29","117.77","12.08M","3.26%"
"08/05/2025","117.04","118.10","118.65","116.87","5.89M","-0.39%"
"08/04/2025","117.50","118.35","119.49","116.86","7.27M","0.37%"
"08/01/2025","117.07","118.06","118.37","116.11","12.42M","-2.95%"
"07/31/2025","120.63","117.82","121.34","117.52","13.65M","2.77%"
"07/30/2025","117.38","119.04","119.59","116.84","12.79M","-1.66%"
"07/29/2025","119.36","122.49","122.87","119.05","13.60M","-2.28%"
"07/28/2025","122.15","122.03","123.45","121.53","11.21M","1.77%"
"07/25/2025","120.03","120.19","120.48","119.34","7.06M","-0.92%"
"07/24/2025","121.15","121.85","123.99","120.45","11.38M","-1.17%"
